elliptical_sentences,,,,,full_sentences,,,,,contrast_sentences,,,,,tree_type
Tim watched movies and John did,,,,,Tim watched movies and John watched movies,,,,,Tim watched movies and John saw,,,,,0
Sarah liked novel and Tim did,,,,,Sarah liked novel and Tim liked novel,,,,,Sarah liked novel and Tim appreciated,,,,,0
Tim studied math and Mary did,,,,,Tim studied math and Mary studied math,,,,,Tim studied math and Mary learned,,,,,0
John taught music and Tim did,,,,,John taught music and Tim taught music,,,,,John taught music and Tim tutored,,,,,0
John played tennis and Tim did,,,,,John played tennis and Tim played tennis,,,,,John played tennis and Tim participated,,,,,0
Sarah liked tennis and John did,,,,,Sarah liked tennis and John liked tennis,,,,,Sarah liked tennis and John appreciated,,,,,0
Tim studied music and John did,,,,,Tim studied music and John studied music,,,,,Tim studied music and John learned,,,,,0
John studies movies and Sarah does,,,,,John studies movies and Sarah studies movies,,,,,John studies movies and Sarah learns,,,,,0
John likes movies and Sarah does,,,,,John likes movies and Sarah likes movies,,,,,John likes movies and Sarah appreciates,,,,,0
Mary watched movies and John did,,,,,Mary watched movies and John watched movies,,,,,Mary watched movies and John saw,,,,,0
Sarah cooks pizza and Tim does,,,,,Sarah cooks pizza and Tim cooks pizza,,,,,Sarah cooks pizza and Tim makes,,,,,0
Mary watched movies and Tim did,,,,,Mary watched movies and Tim watched movies,,,,,Mary watched movies and Tim saw,,,,,0
Sarah studies TV shows and John does,,,,,Sarah studies TV shows and John TV shows,,,,,Sarah studies TV shows and John learns,,,,,0
Tim studies math and Mary does,,,,,Tim studies math and Mary studies math,,,,,Tim studies math and Mary learns,,,,,0
Sarah likes movies and Mary does,,,,,Sarah likes movies and Mary likes movies,,,,,Sarah likes movies and Mary appreciates,,,,,0
John likes math and Mary does,,,,,John likes math and Mary likes math,,,,,John likes math and Mary appreciates,,,,,0
John studies math and Sarah does,,,,,John studies math and Sarah studies math,,,,,John studies math and Sarah learns,,,,,0
Mary watches movies and Sarah does,,,,,Mary watches movies and Sarah watches movies,,,,,Mary watches movies and Sarah sees,,,,,0
John watches TV shows and Sarah does,,,,,John watches TV shows and Sarah TV shows,,,,,John watches TV shows and Sarah sees,,,,,0
Tim studied sushi and John did,,,,,Tim studied sushi and John studied sushi,,,,,Tim studied sushi and John learned,,,,,0
Sarah likes tennis and Mary does,,,,,Sarah likes tennis and Mary likes tennis,,,,,Sarah likes tennis and Mary appreciates,,,,,0
Mary read poems and Tim did,,,,,Mary read poems and Tim read poems,,,,,Mary read poems and Tim interpreted,,,,,0
Sarah taught history and Tim did,,,,,Sarah taught history and Tim taught history,,,,,Sarah taught history and Tim tutored,,,,,0
John liked TV shows and Sarah did,,,,,John liked TV shows and Sarah TV shows,,,,,John liked TV shows and Sarah appreciated,,,,,0
Tim liked TV shows and Sarah did,,,,,Tim liked TV shows and Sarah TV shows,,,,,Tim liked TV shows and Sarah appreciated,,,,,0
Sarah studied math and Mary did,,,,,Sarah studied math and Mary studied math,,,,,Sarah studied math and Mary learned,,,,,0
Sarah studied movies and Tim did,,,,,Sarah studied movies and Tim studied movies,,,,,Sarah studied movies and Tim learned,,,,,0
Sarah studied movies and John did,,,,,Sarah studied movies and John studied movies,,,,,Sarah studied movies and John learned,,,,,0
Mary liked music and Sarah did,,,,,Mary liked music and Sarah liked music,,,,,Mary liked music and Sarah appreciated,,,,,0
John reads novel and Mary does,,,,,John reads novel and Mary reads novel,,,,,John reads novel and Mary interprets,,,,,0
John taught chess and Tim did,,,,,John taught chess and Tim taught chess,,,,,John taught chess and Tim tutored,,,,,0
Sarah reads poems and Mary does,,,,,Sarah reads poems and Mary reads poems,,,,,Sarah reads poems and Mary interprets,,,,,0
Tim liked sushi and John did,,,,,Tim liked sushi and John liked sushi,,,,,Tim liked sushi and John appreciated,,,,,0
Mary liked TV shows and John did,,,,,Mary liked TV shows and John TV shows,,,,,Mary liked TV shows and John appreciated,,,,,0
John likes chess and Tim does,,,,,John likes chess and Tim likes chess,,,,,John likes chess and Tim appreciates,,,,,0
John liked history and Mary did,,,,,John liked history and Mary liked history,,,,,John liked history and Mary appreciated,,,,,0
Tim studies movies and Sarah does,,,,,Tim studies movies and Sarah studies movies,,,,,Tim studies movies and Sarah learns,,,,,0
John watched movies and Tim did,,,,,John watched movies and Tim watched movies,,,,,John watched movies and Tim saw,,,,,0
Sarah studies coffee and Mary does,,,,,Sarah studies coffee and Mary studies coffee,,,,,Sarah studies coffee and Mary learns,,,,,0
Mary plays chess and Sarah does,,,,,Mary plays chess and Sarah plays chess,,,,,Mary plays chess and Sarah participates,,,,,0
John liked tennis and Sarah did,,,,,John liked tennis and Sarah liked tennis,,,,,John liked tennis and Sarah appreciated,,,,,0
Tim studies chess and Sarah does,,,,,Tim studies chess and Sarah studies chess,,,,,Tim studies chess and Sarah learns,,,,,0
Mary watches movies and Tim does,,,,,Mary watches movies and Tim watches movies,,,,,Mary watches movies and Tim sees,,,,,0
Sarah likes novel and John does,,,,,Sarah likes novel and John likes novel,,,,,Sarah likes novel and John appreciates,,,,,0
Mary studies tea and Tim does,,,,,Mary studies tea and Tim studies tea,,,,,Mary studies tea and Tim learns,,,,,0
John likes novel and Mary does,,,,,John likes novel and Mary likes novel,,,,,John likes novel and Mary appreciates,,,,,0
Sarah likes sushi and Tim does,,,,,Sarah likes sushi and Tim likes sushi,,,,,Sarah likes sushi and Tim appreciates,,,,,0
Sarah likes math and Tim does,,,,,Sarah likes math and Tim likes math,,,,,Sarah likes math and Tim appreciates,,,,,0
Sarah plays tennis and John does,,,,,Sarah plays tennis and John plays tennis,,,,,Sarah plays tennis and John participates,,,,,0
Tim likes sushi and Mary does,,,,,Tim likes sushi and Mary likes sushi,,,,,Tim likes sushi and Mary appreciates,,,,,0
Tim read poems and Mary did,,,,,Tim read poems and Mary read poems,,,,,Tim read poems and Mary interpreted,,,,,0
Sarah studies novel and Mary does,,,,,Sarah studies novel and Mary studies novel,,,,,Sarah studies novel and Mary learns,,,,,0
Mary teaches chess and John does,,,,,Mary teaches chess and John teaches chess,,,,,Mary teaches chess and John tutors,,,,,0
Sarah liked music and Tim did,,,,,Sarah liked music and Tim liked music,,,,,Sarah liked music and Tim appreciated,,,,,0
Sarah reads novel and Mary does,,,,,Sarah reads novel and Mary reads novel,,,,,Sarah reads novel and Mary interprets,,,,,0
Sarah taught music and Tim did,,,,,Sarah taught music and Tim taught music,,,,,Sarah taught music and Tim tutored,,,,,0
Sarah likes history and John does,,,,,Sarah likes history and John likes history,,,,,Sarah likes history and John appreciates,,,,,0
Sarah reads poems and John does,,,,,Sarah reads poems and John reads poems,,,,,Sarah reads poems and John interprets,,,,,0
Tim likes tea and John does,,,,,Tim likes tea and John likes tea,,,,,Tim likes tea and John appreciates,,,,,0
Sarah liked novel and Mary did,,,,,Sarah liked novel and Mary liked novel,,,,,Sarah liked novel and Mary appreciated,,,,,0
John reads poems and Tim does,,,,,John reads poems and Tim reads poems,,,,,John reads poems and Tim interprets,,,,,0
Tim studies music and Mary does,,,,,Tim studies music and Mary studies music,,,,,Tim studies music and Mary learns,,,,,0
Sarah taught tennis and John did,,,,,Sarah taught tennis and John taught tennis,,,,,Sarah taught tennis and John tutored,,,,,0
Tim studied tea and Mary did,,,,,Tim studied tea and Mary studied tea,,,,,Tim studied tea and Mary learned,,,,,0
Tim studied novel and Mary did,,,,,Tim studied novel and Mary studied novel,,,,,Tim studied novel and Mary learned,,,,,0
Sarah likes sushi and Mary does,,,,,Sarah likes sushi and Mary likes sushi,,,,,Sarah likes sushi and Mary appreciates,,,,,0
Mary likes coffee and Tim does,,,,,Mary likes coffee and Tim likes coffee,,,,,Mary likes coffee and Tim appreciates,,,,,0
Sarah teaches tennis and Mary does,,,,,Sarah teaches tennis and Mary teaches tennis,,,,,Sarah teaches tennis and Mary tutors,,,,,0
Mary liked novel and John did,,,,,Mary liked novel and John liked novel,,,,,Mary liked novel and John appreciated,,,,,0
John studies music and Mary does,,,,,John studies music and Mary studies music,,,,,John studies music and Mary learns,,,,,0
Sarah likes tennis and Tim does,,,,,Sarah likes tennis and Tim likes tennis,,,,,Sarah likes tennis and Tim appreciates,,,,,0
Mary studied novel and Tim did,,,,,Mary studied novel and Tim studied novel,,,,,Mary studied novel and Tim learned,,,,,0
Mary cooked sushi and Tim did,,,,,Mary cooked sushi and Tim cooked sushi,,,,,Mary cooked sushi and Tim made,,,,,0
Sarah studies tea and John does,,,,,Sarah studies tea and John studies tea,,,,,Sarah studies tea and John learns,,,,,0
Tim plays chess and John does,,,,,Tim plays chess and John plays chess,,,,,Tim plays chess and John participates,,,,,0
Tim taught music and Mary did,,,,,Tim taught music and Mary taught music,,,,,Tim taught music and Mary tutored,,,,,0
Tim teaches history and Sarah does,,,,,Tim teaches history and Sarah teaches history,,,,,Tim teaches history and Sarah tutors,,,,,0
Sarah liked math and Tim did,,,,,Sarah liked math and Tim liked math,,,,,Sarah liked math and Tim appreciated,,,,,0
Tim reads poems and John does,,,,,Tim reads poems and John reads poems,,,,,Tim reads poems and John interprets,,,,,0
Mary cooks pizza and Sarah does,,,,,Mary cooks pizza and Sarah cooks pizza,,,,,Mary cooks pizza and Sarah makes,,,,,0
Mary liked sushi and John did,,,,,Mary liked sushi and John liked sushi,,,,,Mary liked sushi and John appreciated,,,,,0
Tim studied novel and John did,,,,,Tim studied novel and John studied novel,,,,,Tim studied novel and John learned,,,,,0
Tim likes pizza and Sarah does,,,,,Tim likes pizza and Sarah likes pizza,,,,,Tim likes pizza and Sarah appreciates,,,,,0
John likes sushi and Mary does,,,,,John likes sushi and Mary likes sushi,,,,,John likes sushi and Mary appreciates,,,,,0
Tim studied chess and Mary did,,,,,Tim studied chess and Mary studied chess,,,,,Tim studied chess and Mary learned,,,,,0
Tim liked music and Sarah did,,,,,Tim liked music and Sarah liked music,,,,,Tim liked music and Sarah appreciated,,,,,0
Mary teaches tennis and John does,,,,,Mary teaches tennis and John teaches tennis,,,,,Mary teaches tennis and John tutors,,,,,0
Tim reads novel and Sarah does,,,,,Tim reads novel and Sarah reads novel,,,,,Tim reads novel and Sarah interprets,,,,,0
John taught math and Sarah did,,,,,John taught math and Sarah taught math,,,,,John taught math and Sarah tutored,,,,,0
John played chess and Tim did,,,,,John played chess and Tim played chess,,,,,John played chess and Tim participated,,,,,0
Sarah liked tea and John did,,,,,Sarah liked tea and John liked tea,,,,,Sarah liked tea and John appreciated,,,,,0
Mary likes movies and Tim does,,,,,Mary likes movies and Tim likes movies,,,,,Mary likes movies and Tim appreciates,,,,,0
Tim liked music and John did,,,,,Tim liked music and John liked music,,,,,Tim liked music and John appreciated,,,,,0
Sarah read novel and Tim did,,,,,Sarah read novel and Tim read novel,,,,,Sarah read novel and Tim interpreted,,,,,0
John teaches chess and Sarah does,,,,,John teaches chess and Sarah teaches chess,,,,,John teaches chess and Sarah tutors,,,,,0
John likes movies and Tim does,,,,,John likes movies and Tim likes movies,,,,,John likes movies and Tim appreciates,,,,,0
Tim likes math and Sarah does,,,,,Tim likes math and Sarah likes math,,,,,Tim likes math and Sarah appreciates,,,,,0
Sarah studied history and John did,,,,,Sarah studied history and John studied history,,,,,Sarah studied history and John learned,,,,,0
Tim watched TV shows and Mary did,,,,,Tim watched TV shows and Mary TV shows,,,,,Tim watched TV shows and Mary saw,,,,,0
John likes tennis and Sarah does,,,,,John likes tennis and Sarah likes tennis,,,,,John likes tennis and Sarah appreciates,,,,,0
Tim studies history and John does,,,,,Tim studies history and John studies history,,,,,Tim studies history and John learns,,,,,0
Tim watches TV shows and Mary does,,,,,Tim watches TV shows and Mary TV shows,,,,,Tim watches TV shows and Mary sees,,,,,0
Mary likes poems and John does,,,,,Mary likes poems and John likes poems,,,,,Mary likes poems and John appreciates,,,,,0
Mary reads novel and Tim does,,,,,Mary reads novel and Tim reads novel,,,,,Mary reads novel and Tim interprets,,,,,0
John likes music and Tim does,,,,,John likes music and Tim likes music,,,,,John likes music and Tim appreciates,,,,,0
John likes tea and Tim does,,,,,John likes tea and Tim likes tea,,,,,John likes tea and Tim appreciates,,,,,0
John likes poems and Sarah does,,,,,John likes poems and Sarah likes poems,,,,,John likes poems and Sarah appreciates,,,,,0
Mary played chess and John did,,,,,Mary played chess and John played chess,,,,,Mary played chess and John participated,,,,,0
Tim likes novel and Sarah does,,,,,Tim likes novel and Sarah likes novel,,,,,Tim likes novel and Sarah appreciates,,,,,0
Sarah studies coffee and John does,,,,,Sarah studies coffee and John studies coffee,,,,,Sarah studies coffee and John learns,,,,,0
John likes tennis and Mary does,,,,,John likes tennis and Mary likes tennis,,,,,John likes tennis and Mary appreciates,,,,,0
Sarah played chess and Mary did,,,,,Sarah played chess and Mary played chess,,,,,Sarah played chess and Mary participated,,,,,0
Sarah teaches math and Mary does,,,,,Sarah teaches math and Mary teaches math,,,,,Sarah teaches math and Mary tutors,,,,,0
Tim studied coffee and John did,,,,,Tim studied coffee and John studied coffee,,,,,Tim studied coffee and John learned,,,,,0
Sarah studied tea and Mary did,,,,,Sarah studied tea and Mary studied tea,,,,,Sarah studied tea and Mary learned,,,,,0
John studies novel and Mary does,,,,,John studies novel and Mary studies novel,,,,,John studies novel and Mary learns,,,,,0
John studies sushi and Mary does,,,,,John studies sushi and Mary studies sushi,,,,,John studies sushi and Mary learns,,,,,0
Tim studied novel and Sarah did,,,,,Tim studied novel and Sarah studied novel,,,,,Tim studied novel and Sarah learned,,,,,0
Tim taught music and Sarah did,,,,,Tim taught music and Sarah taught music,,,,,Tim taught music and Sarah tutored,,,,,0
